"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"11 years"	"11"	22	4036182	0.5
	"1999"	"1999"	"12 years"	"12"	32	4009910	0.8
	"1999"	"1999"	"13 years"	"13"	54	4003607	1.3
	"1999"	"1999"	"14 years"	"14"	126	4015012	3.1
	"1999"	"1999"	"15 years"	"15"	162	3939152	4.1
	"1999"	"1999"	"16 years"	"16"	265	4020305	6.6
	"1999"	"1999"	"17 years"	"17"	332	4031224	8.2
	"1999"	"1999"	"18 years"	"18"	411	3989843	10.3
	"1999"	"1999"	"19 years"	"19"	444	4104078	10.8
	"1999"	"1999"	"20 years"	"20"	466	3925495	11.9
	"1999"	"1999"	"21 years"	"21"	475	3763401	12.6
	"1999"	"1999"	"22 years"	"22"	446	3694190	12.1
	"1999"	"1999"	"23 years"	"23"	473	3562469	13.3
	"1999"	"1999"	"24 years"	"24"	426	3645874	11.7
	"1999"	"1999"	"25 years"	"25"	431	3657407	11.8
	"1999"	"1999"	"26 years"	"26"	461	3666228	12.6
	"1999"	"1999"	"27 years"	"27"	488	3935064	12.4
	"1999"	"1999"	"28 years"	"28"	498	4146484	12.0
	"1999"	"1999"	"29 years"	"29"	516	4169874	12.4
	"1999"	"1999"	"30 years"	"30"	497	4181212	11.9
	"1999"	"1999"	"31 years"	"31"	535	3936187	13.6
	"1999"	"1999"	"32 years"	"32"	506	4043957	12.5
	"1999"	"1999"	"33 years"	"33"	556	4079717	13.6
	"1999"	"1999"	"34 years"	"34"	611	4362276	14.0
	"1999"	"1999"	"35 years"	"35"	659	4605618	14.3
	"1999"	"1999"	"36 years"	"36"	644	4543561	14.2
	"1999"	"1999"	"37 years"	"37"	635	4582792	13.9
	"1999"	"1999"	"38 years"	"38"	659	4530009	14.5
	"1999"	"1999"	"39 years"	"39"	687	4620569	14.9
	"1999"	"1999"	"40 years"	"40"	657	4667525	14.1
	"1999"	"1999"	"41 years"	"41"	634	4461898	14.2
	"1999"	"1999"	"42 years"	"42"	663	4506931	14.7
	"1999"	"1999"	"43 years"	"43"	584	4297852	13.6
	"1999"	"1999"	"44 years"	"44"	638	4259922	15.0
	"1999"	"1999"	"45 years"	"45"	634	4245882	14.9
	"1999"	"1999"	"46 years"	"46"	593	3994950	14.8
	"1999"	"1999"	"47 years"	"47"	582	3937147	14.8
	"1999"	"1999"	"48 years"	"48"	511	3710656	13.8
	"1999"	"1999"	"49 years"	"49"	497	3765572	13.2
	"1999"	"1999"	"50 years"	"50"	485	3762700	12.9
	"1999"	"1999"	"51 years"	"51"	512	3601854	14.2
	"1999"	"1999"	"52 years"	"52"	485	3873166	12.5
	"1999"	"1999"	"53 years"	"53"	393	2785325	14.1
	"1999"	"1999"	"54 years"	"54"	389	2900567	13.4
	"1999"	"1999"	"55 years"	"55"	415	2859176	14.5
	"1999"	"1999"	"56 years"	"56"	378	2934509	12.9
	"1999"	"1999"	"57 years"	"57"	332	2561216	13.0
	"1999"	"1999"	"58 years"	"58"	297	2412512	12.3
	"1999"	"1999"	"59 years"	"59"	255	2317408	11.0
	"1999"	"1999"	"60 years"	"60"	274	2313430	11.8
	"1999"	"1999"	"61 years"	"61"	254	2178551	11.7
	"1999"	"1999"	"62 years"	"62"	238	2076327	11.5
	"1999"	"1999"	"63 years"	"63"	223	2054965	10.9
	"1999"	"1999"	"64 years"	"64"	228	2069932	11.0
	"1999"	"1999"	"65 years"	"65"	237	1913454	12.4
	"1999"	"1999"	"66 years"	"66"	236	1896361	12.4
	"1999"	"1999"	"67 years"	"67"	235	1916683	12.3
	"1999"	"1999"	"68 years"	"68"	225	1917811	11.7
	"1999"	"1999"	"69 years"	"69"	253	1897189	13.3
	"1999"	"1999"	"70 years"	"70"	270	1872535	14.4
